StudyID,title,search_strings,repositories,methods
11,A Simulation Framework for Workload Management in Hybrid Quantum-HPC Cloud System,ss6,acm;ieeexplore,doi;title
12,A Software Platform to Support Disaggregated Quantum Accelerators,ss6,acm;ieeexplore,doi;title
15,C2|Q>: Unifying Classical and Quantum Programming,ss6,acm,title
16,Choreography and Profiling of Quantum-Classical FaaS Workflows on Hybrid Clouds,ss2;ss6,ieeexplore,doi;title
17,CUDA Quantum: The Platform for Integrated Quantum-Classical Computing,ss4;ss6,acm;ieeexplore,doi;title
18,𝐶𝑙𝑎𝑠𝑠𝑖|𝑄⟩: Towards a Translation Framework to Bridge the Classical-Quantum Programming Gap,ss6,acm,doi;title
19,Developing hybrid quantum-classical software: a software product line approach,ss6,acm,doi;title
2,: A Cross-Platform Programming Framework for Quantum-Accelerated Scientific Computing,ss2;ss4;ss6,springer,doi;title
20,Eclipse Qrisp QAOA: Description and&#xa0;Preliminary Comparison with&#xa0;Qiskit Counterparts,ss4;ss6,springer,doi
22,Extending C++ for Heterogeneous Quantum-Classical Computing,ss4;ss6,acm,doi;title
23,GeQuPI: Quantum Program Improvement with Multi-Objective Genetic Programming,ss6,sciencedirect,doi;title
24,HetArch: Heterogeneous Microarchitectures for Superconducting Quantum Systems,ss6,acm,doi;title
25,Hybrid (Quantum-Classical) Service Applications Deployment Configuration System,ss2;ss4;ss6,springer,doi;title
26,Hybrid Classical-Quantum Software Services Systems: Exploration of the Rough Edges,ss2;ss4;ss6,springer,doi;title
27,Implementing NChooseK on IBM Q Quantum Computer Systems,ss4,springer,doi;title
28,Integrating quantum computing resources into scientific HPC ecosystems,ss4;ss6,sciencedirect,doi;title
29,Integration of&#xa0;Classical and&#xa0;Quantum Services Using an&#xa0;Enterprise Service Bus,ss2;ss4;ss6,springer,doi
3,2 Challenges in Software Development and Deployment of Quantum Services,ss2,ieeexplore,title
30,iQuantum: A Case for Modeling and Simulation of Quantum Computing Environments,ss2;ss6,ieeexplore,doi;title
31,iQuantum: A toolkit for modeling and simulation of quantum computing environments,ss2;ss6,wiley,doi;title
33,Ket Quantum Programming,ss6,acm,doi;title
34,LinguaQuanta: Towards a&#xa0;Quantum Transpiler Between OpenQASM and&#xa0;Quipper,ss4;ss6,springer,doi
36,"Metamodel and&#xa0;Formalization to&#xa0;Model, Transform, Deploy, and&#xa0;Execute Quantum Workflows",ss2;ss4;ss6,springer,doi
37,MQT Predictor: Automatic Device Selection with Device-Specific Circuit Compilation for Quantum Computing,ss6,acm,doi;title
38,NordIQuEst: The&#xa0;Nordic–Estonian Quantum Computing e–Infrastructure Quest,ss2;ss4;ss6,springer,doi
39,One Nine Availability of a Photonic Quantum Computer on the Cloud Toward HPC Integration,ss2;ss6,ieeexplore,doi;title
40,OpenMP-Q: Quantum Task Offloading in&#xa0;OpenMP,ss4;ss6,springer,doi
41,OpenQL: A Portable Quantum Programming Framework for Quantum Accelerators,ss6,acm,doi;title
42,Orchestrating Quantum-HPC Workflows with Distributed Quantum Circuit Cutting,ss4;ss6,acm;ieeexplore,doi;title
47,Q#: Enabling Scalable Quantum Computing and Development with a High-level DSL,ss6,acm,doi;title
48,QCSHQD: Quantum Computing as a Service for Hybrid Classical-Quantum Software Development: A Vision,ss2;ss6,acm,doi;title
49,QFaaS: A Serverless Function-as-a-Service framework for Quantum computing,ss2;ss6,sciencedirect,doi;title
5,A Design Framework for the Simulation of Distributed Quantum Computing,ss6,acm,doi;title
51,QisDAX: An Open Source Bridge from Qiskit to Trapped-Ion Quantum Devices,ss6,ieeexplore,doi;title
54,qlbm – A quantum lattice Boltzmann software framework,ss4;ss6,sciencedirect,doi;title
55,Qonductor: A Cloud Orchestrator for Quantum Computing,ss6,acm,doi;title
58,qSOA®: Dynamic integration for hybrid quantum/Classical software systems,ss2;ss4;ss6,sciencedirect,doi;title
6,A Guide for&#xa0;Quantum Web Services Deployment,ss2;ss4;ss6,springer,doi
61,Quantum Computing with Differentiable Quantum Transforms,ss6,acm,doi;title
64,Quantum Service-oriented Computing: A Proposal for Quantum Software as a Service,ss2,ieeexplore,title
65,Quantum Services Generation and&#xa0;Deployment Process: A Quality-Oriented Approach,ss2;ss4;ss6,springer,doi
69,QuantumPath: A quantum software development platform,ss6,wiley,doi;title
7,A Model-Driven Framework for Composition-Based Quantum Circuit Design,ss4;ss6,acm,doi;title
70,QuantumShare: Towards an&#xa0;Ontology for&#xa0;Bridging the&#xa0;Quantum Divide,ss2;ss4;ss6,springer,doi
72,Qubernetes: Towards a unified cloud-native execution platform for hybrid classic-quantum computing,ss6,sciencedirect,doi;title
73,QuCloudSim: A Customizable Discrete Event Simulator for Quantum Cloud Computing Enviroment,ss2;ss6,ieeexplore,doi;title
74,Quff: A Dynamically Typed Hybrid Quantum-Classical Programming Language,ss6,acm,doi;title
75,Quingo: A Programming Framework for Heterogeneous Quantum-Classical Computing with NISQ Features,ss6,acm,doi;title
77,Quokka: A Service Ecosystem for&#xa0;Workflow-Based Execution of&#xa0;Variational Quantum Algorithms,ss2;ss4;ss6,springer,doi
78,Qutes: A High-Level Quantum Programming Language for Simplified Quantum Computing,ss4;ss6,acm,doi;title
79,ScaffCC: a framework for compilation and analysis of quantum computing programs,ss6,acm,doi;title
8,A Novel Scheduling Framework for Multi-Programming Quantum Computing in Cloud Environment,ss2;ss6,sciencedirect,doi;title
80,Scaling Hybrid Quantum--HPC Applications with the Quantum Framework,ss6,acm,doi;title
81,Shaking Up Quantum Simulators with Fuzzing and Rigour,ss6,acm,doi;title
85,Tetris: A Compilation Framework for VQA Applications in Quantum Computing,ss4;ss6,acm;ieeexplore,doi;title
86,The Arrow Calculus as a Quantum Programming Language,ss4,springer,doi;title
87,The NISQ Analyzer: Automating the Selection of Quantum Computers for Quantum Algorithms,ss2;ss4,springer,doi;title
